epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,8.06699,0.85261,2.35413,3.36143,1.20734,0,0.0159,0.48618,0.06159,0.02097,0.02337,0.5187,0.05214,0.01782,0.55394,1.6185,3.66213,1.06412,0,0.00020006,0.00020006,0.00020006
2,14.2137,0.70961,1.66503,2.91834,1.09649,0,0.15189,0.63713,0.32922,0.2646,0.15394,0.64119,0.32648,0.27378,0.61,1.08864,3.40457,1.01138,0,0.000406205,0.000406205,0.000406205
3,20.1426,0.65743,1.29034,2.61455,1.00687,0,0.1097,0.83117,0.39133,0.30832,0.11342,0.84634,0.39455,0.3294,0.61208,0.92636,3.30693,1.00099,0,0.000603861,0.000603861,0.000603861
4,26.2692,0.70881,1.25752,2.45556,1.01266,0,0.06918,0.83035,0.50477,0.35019,0.06753,0.8122,0.49105,0.26023,0.67415,1.96502,3.40272,1.02382,0,0.000793029,0.000793029,0.000793029
5,32.3747,0.71831,1.70197,2.42577,0.99078,0,0.06918,0.83035,0.50477,0.35019,0.06753,0.8122,0.49105,0.26023,0.67415,1.96502,3.40272,1.02382,0,0.000973709,0.000973709,0.000973709
6,38.6837,0.77307,1.59883,2.1513,1.00876,0,0.97796,0.28862,0.74298,0.46841,0.97796,0.28862,0.58595,0.36426,0.85427,2.03557,2.50633,1.10302,0,0.0011459,0.0011459,0.0011459
7,44.9278,0.78416,1.49884,2.09164,1.04037,0,0.97796,0.28862,0.74298,0.46841,0.97796,0.28862,0.58595,0.36426,0.85427,2.03557,2.50633,1.10302,0,0.00125923,0.00125923,0.00125923
8,51.4295,0.76783,1.57918,2.15252,1.03188,0,0.83385,0.39118,0.64548,0.40914,0.83211,0.38635,0.63246,0.43736,0.80044,1.39805,2.3297,1.16209,0,0.00123094,0.00123094,0.00123094
9,58.1769,0.76457,1.29292,2.14413,1.10784,0,0.83385,0.39118,0.64548,0.40914,0.83211,0.38635,0.63246,0.43736,0.80044,1.39805,2.3297,1.16209,0,0.00120265,0.00120265,0.00120265
10,64.7061,0.81535,1.54579,1.95382,1.06818,0,0.87472,0.42131,0.64,0.44381,0.85159,0.39692,0.60061,0.25401,0.7481,3.10243,2.42459,1.11445,0,0.00117435,0.00117435,0.00117435
11,71.2827,0.86907,1.8583,2.10872,1.09221,0,0.87472,0.42131,0.64,0.44381,0.85159,0.39692,0.60061,0.25401,0.7481,3.10243,2.42459,1.11445,0,0.00114606,0.00114606,0.00114606
12,77.929,0.81028,1.50838,1.94483,1.09561,0,0.65074,0.65334,0.76267,0.52821,0.64422,0.64508,0.76527,0.56912,0.70702,1.05827,1.75902,1.07312,0,0.00111776,0.00111776,0.00111776
13,84.5907,0.80393,1.23141,1.93507,1.07069,0,0.65074,0.65334,0.76267,0.52821,0.64422,0.64508,0.76527,0.56912,0.70702,1.05827,1.75902,1.07312,0,0.00108947,0.00108947,0.00108947
14,91.3132,0.82428,1.13152,2.32635,1.04692,0,0.65051,0.67778,0.82317,0.5769,0.59219,0.67778,0.74349,0.52933,0.72785,1.25362,1.69036,1.09415,0,0.00106118,0.00106118,0.00106118
